timepoint,technology,region,power,charging,state_of_charge,goal_state_of_charge_start,goal_state_of_charge_end
29,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
29,"(1, 33, 0, 47)",1,0,0,0,,
29,"(2, 33, 0, 47)",2,0,0,0,,
29,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
29,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
29,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
29,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
29,"(91, 62L, 2L, 64L, 1983L)",2,32938.1,,,,
29,"(91, 62L, 3L, 64L, 1983L)",3,140570,,,,
30,"(3, 33, 0, 46)",3,0,11376.9,152355,20371.8,8994.9
30,"(3, 33, 0, 47)",3,0,0,14609.8,,
30,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
30,"(1, 33, 0, 66)",1,0,0,0,,
30,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
30,"(1, 33, 0, 47)",1,0,0,0,,
30,"(2, 33, 0, 47)",2,0,0,0,,
30,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
30,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
30,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
30,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
30,"(91, 62L, 2L, 64L, 1983L)",2,37334.7,,,,
30,"(91, 62L, 3L, 64L, 1983L)",3,132546,,,,
31,"(3, 33, 0, 46)",3,0,11376.9,162220,20371.8,8994.9
31,"(3, 33, 0, 47)",3,0,0,14609.8,,
31,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
31,"(1, 33, 0, 66)",1,0,0,0,,
31,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
31,"(1, 33, 0, 47)",1,0,0,0,,
31,"(2, 33, 0, 47)",2,0,0,0,,
31,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
31,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
31,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
31,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
31,"(91, 62L, 2L, 64L, 1983L)",2,46463.1,,,,
31,"(91, 62L, 3L, 64L, 1983L)",3,136311,,,,
32,"(3, 33, 0, 46)",3,0,11376.9,172085,20371.8,8994.9
32,"(3, 33, 0, 47)",3,0,0,14609.8,,
32,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
32,"(1, 33, 0, 66)",1,0,0,0,,
32,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
32,"(1, 33, 0, 47)",1,0,0,0,,
32,"(2, 33, 0, 47)",2,0,0,0,,
32,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
32,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
32,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
32,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
32,"(91, 62L, 2L, 64L, 1983L)",2,62885.5,,,,
32,"(91, 62L, 3L, 64L, 1983L)",3,146744,,,,
